
----------- Ïðîòîêîë ------------ Äàòà: 04.12.2025 16:18:40 ------------ 


----- Ïàðàìåòðû --------
-in: in.txt
-out: in.txt.out
-log: in.txt.log
---- Èñõîäíûå äàííûå ------
Êîëè÷åñòâî ñèìâîëîâ: 1987
Ïðîèãíîðèðîâàíî:   0
Êîëè÷åñòâî ñòðîê: 105

------------------------------ ÒÀÁËÈÖÀ ËÅÊÑÅÌ  ------------------------

|  N | ËÅÊÑÅÌÀ | ÑÒÐÎÊÀ | ÈÍÄÅÊÑ Â ÒÈ |
|  0 |    a    |    1   |             |
|  1 |    t    |    1   |             |
|  2 |    i    |    1   |       0     |
|  3 |    [    |    1   |             |
|  4 |    t    |    1   |             |
|  5 |    i    |    1   |       1     |
|  6 |    ,    |    1   |             |
|  7 |    t    |    1   |             |
|  8 |    i    |    1   |       2     |
|  9 |    ,    |    1   |             |
| 10 |    t    |    1   |             |
| 11 |    i    |    1   |       3     |
| 12 |    ]    |    1   |             |
| 13 |    {    |    2   |             |
| 14 |    e    |    3   |             |
| 15 |    t    |    3   |             |
| 16 |    i    |    3   |       4     |
| 17 |    ;    |    3   |             |
| 18 |    i    |    4   |       4     |
| 19 |    =    |    4   |             |
| 20 |    z    |    4   |             |
| 21 |    (    |    4   |             |
| 22 |    i    |    4   |       1     |
| 23 |    ,    |    4   |             |
| 24 |    i    |    4   |       2     |
| 25 |    )    |    4   |             |
| 26 |    ;    |    4   |             |
| 27 |    i    |    5   |       4     |
| 28 |    =    |    5   |             |
| 29 |    z    |    5   |             |
| 30 |    (    |    5   |             |
| 31 |    i    |    5   |       4     |
| 32 |    ,    |    5   |             |
| 33 |    i    |    5   |       3     |
| 34 |    )    |    5   |             |
| 35 |    ;    |    5   |             |
| 36 |    r    |    6   |             |
| 37 |    i    |    6   |       4     |
| 38 |    ;    |    6   |             |
| 39 |    }    |    7   |             |
| 40 |    a    |    8   |             |
| 41 |    t    |    8   |             |
| 42 |    i    |    8   |       5     |
| 43 |    [    |    8   |             |
| 44 |    t    |    8   |             |
| 45 |    i    |    8   |       6     |
| 46 |    ,    |    8   |             |
| 47 |    t    |    8   |             |
| 48 |    i    |    8   |       7     |
| 49 |    ]    |    8   |             |
| 50 |    {    |    9   |             |
| 51 |    e    |   10   |             |
| 52 |    t    |   10   |             |
| 53 |    i    |   10   |       8     |
| 54 |    ;    |   10   |             |
| 55 |    e    |   11   |             |
| 56 |    t    |   11   |             |
| 57 |    i    |   11   |       9     |
| 58 |    ;    |   11   |             |
| 59 |    i    |   12   |       9     |
| 60 |    =    |   12   |             |
| 61 |    n    |   12   |             |
| 62 |    (    |   12   |             |
| 63 |    i    |   12   |       6     |
| 64 |    )    |   12   |             |
| 65 |    ;    |   12   |             |
| 66 |    u    |   13   |             |
| 67 |    i    |   13   |       9     |
| 68 |    ;    |   13   |             |
| 69 |    ^    |   14   |             |
| 70 |    ;    |   14   |             |
| 71 |    i    |   15   |       8     |
| 72 |    =    |   15   |             |
| 73 |    y    |   15   |             |
| 74 |    (    |   15   |             |
| 75 |    i    |   15   |       6     |
| 76 |    ,    |   15   |             |
| 77 |    i    |   15   |       7     |
| 78 |    )    |   15   |             |
| 79 |    ;    |   15   |             |
| 80 |    r    |   16   |             |
| 81 |    i    |   16   |       8     |
| 82 |    ;    |   16   |             |
| 83 |    }    |   17   |             |
| 84 |    a    |   18   |             |
| 85 |    h    |   18   |             |
| 86 |    i    |   18   |      10     |
| 87 |    [    |   18   |             |
| 88 |    t    |   18   |             |
| 89 |    i    |   18   |      11     |
| 90 |    ]    |   18   |             |
| 91 |    {    |   19   |             |
| 92 |    e    |   20   |             |
| 93 |    t    |   20   |             |
| 94 |    i    |   20   |      12     |
| 95 |    ;    |   20   |             |
| 96 |    i    |   21   |      12     |
| 97 |    =    |   21   |             |
| 98 |    l    |   21   |      13     |
| 99 |    ;    |   21   |             |
|100 |    i    |   22   |      12     |
|101 |    =    |   22   |             |
|102 |    y    |   22   |             |
|103 |    (    |   22   |             |
|104 |    i    |   22   |      12     |
|105 |    ,    |   22   |             |
|106 |    i    |   22   |      11     |
|107 |    )    |   22   |             |
|108 |    ;    |   22   |             |
|109 |    u    |   23   |             |
|110 |    i    |   23   |      12     |
|111 |    ;    |   23   |             |
|112 |    ^    |   24   |             |
|113 |    ;    |   24   |             |
|114 |    r    |   25   |             |
|115 |    ;    |   25   |             |
|116 |    }    |   26   |             |
|117 |    m    |   28   |             |
|118 |    {    |   29   |             |
|119 |    e    |   30   |             |
|120 |    t    |   30   |             |
|121 |    i    |   30   |      14     |
|122 |    =    |   30   |             |
|123 |    l    |   30   |      15     |
|124 |    ;    |   30   |             |
|125 |    e    |   31   |             |
|126 |    t    |   31   |             |
|127 |    i    |   31   |      16     |
|128 |    =    |   31   |             |
|129 |    l    |   31   |      17     |
|130 |    ;    |   31   |             |
|131 |    e    |   32   |             |
|132 |    t    |   32   |             |
|133 |    i    |   32   |      18     |
|134 |    =    |   32   |             |
|135 |    l    |   32   |      19     |
|136 |    ;    |   32   |             |
|137 |    e    |   33   |             |
|138 |    t    |   33   |             |
|139 |    i    |   33   |      20     |
|140 |    ;    |   33   |             |
